Organization,Country,Publications,Citations,Altmetric
Chinese University of Hong Kong,Hong Kong,20,66,202
Dalhousie University,Canada,20,249,413
Federal University of Rio de Janeiro,Brazil,20,167,1651
Hamad Medical Corporation,Qatar,20,163,582
King Khalid University,Saudi Arabia,20,214,34
Kwame Nkrumah University of Science and Technology,Ghana,20,107,28
Stockholm University,Sweden,20,53,90
University Hospital of Zurich,Switzerland,20,132,407
University of Bergen,Norway,20,78,164
University of Padua,Italy,20,387,592
University of Southampton,United Kingdom,20,195,259
University of Thessaly,Greece,20,67,38
University of Wisconsin–Madison,United States,20,301,740
Duke-NUS Medical School,United States,19,188,478
Instituto Politécnico Nacional,Mexico,19,74,79
Newcastle University,United Kingdom,19,123,200
Peking University,China,19,168,199
Pennsylvania State University,United States,19,92,274
Singapore General Hospital,Singapore,19,87,34
Sultan Qaboos University,Oman,19,135,79
Universidade Nova de Lisboa,Portugal,19,102,89
University Hospital of Geneva,Switzerland,19,31,548
University of Nigeria,Nigeria,19,82,233
Arizona State University,United States,18,257,374
Benha University,Egypt,18,36,8
Ecole Polytechnique Fédérale de Lausanne,France,18,428,696
Icahn School of Medicine at Mount Sinai,United States,18,493,1796
Jeddah University,Saudi Arabia,18,111,410
Kuwait University,Kuwait,18,54,116
Massachusetts Institute of Technology,United States,18,388,2753
Oslo University Hospital,Norway,18,64,187
Prince of Songkla University,Thailand,18,26,3
RMIT University,Australia,18,204,438
Sapienza University of Rome,Italy,18,157,767
Semmelweis University,Hungary,18,94,85
Shanghai Jiao Tong University,China,18,294,507
Tsinghua University,China,18,195,795
Université Catholique de Louvain,Belgium,18,117,148
University of Birmingham,United Kingdom,18,406,425
University of North Carolina at Chapel Hill,United States,18,183,599
University of Pecs,Hungary,18,52,35
University of Pennsylvania,United States,18,225,1010
Aalto University,Finland,17,106,58
COMSATS University Islamabad,India,17,214,4
Hong Kong Polytechnic University,Hong Kong,17,257,46
Maastricht University,Netherlands,17,82,321
Sun Yat-sen University,China,17,619,206
Tanta University,Egypt,17,101,42
Taras Shevchenko National University of Kyiv,Ukraine,17,18,
Thammasat University,Thailand,17,54,27
Umeå University,Sweden,17,83,502
Umm al-Qura University,Saudi Arabia,17,119,7
United Arab Emirates University,United Arab Emirates,17,217,8
University of Barcelona,Spain,17,463,3572
University of Bristol,United Kingdom,17,181,1778
"University of California, Davis",United States,17,130,2602
University of Chile,Chile,17,159,686
University of Costa Rica,Costa Rica,17,191,796
University of Florence,Italy,17,102,245
University of Florida,United States,17,174,1167
University of Ibadan,Nigeria,17,110,112
University of Novi Sad,Serbia,17,222,51
University of Oulu,Finland,17,65,80
University of Pittsburgh,United States,17,262,1415
University of the Punjab,Pakistan,17,197,33
University of the Western Cape,South Africa,17,30,136
Victoria University of Wellington,New Zealand,17,132,331
Xi'an Jiaotong University,China,17,228,72
Boston University,United States,16,328,1585
Emory University,United States,16,158,901
Johannes Kepler University of Linz,Germany,16,106,4783
London School of Economics and Political Science,United Kingdom,16,346,638
Mexican Social Security Institute,Mexico,16,72,421
Monash University Malaysia,Malaysia,16,169,145
National Scientific and Technical Research Council,Argentina,16,46,108
National University of Sciences and Technology,Pakistan,16,135,27
Sichuan University,China,16,182,61
Tehran University of Medical Sciences,Iran,16,145,73
UiT The Arctic University of Norway,Norway,16,83,71
University of Canterbury,New Zealand,16,96,154
University of Galway,Spain,16,68,664
University of Guadalajara,Saudi Arabia,16,14,74
University of Hassan II Casablanca,Morocco,16,46,5
University of Leicester,United Kingdom,16,176,1143
University of Limerick,Ireland,16,103,199
University of South Florida,United States,16,114,2985
University of Verona,Italy,16,81,42
Vrije Universiteit Amsterdam,Netherlands,16,278,200
Western University,Cambodia,16,139,156
Western University,Cambodia,16,139,156
Zagazig University,Egypt,16,124,158
Addis Ababa University,Ethiopia,15,59,31
Örebro University,Sweden,15,58,52
Australian National University,Australia,15,92,265
Deakin University,Australia,15,125,818
Eötvös Loránd University,Hungary,15,51,62
Griffith University,Australia,15,235,628
Hashemite University,Jordan,15,67,118
Iuliu Hațieganu University of Medicine and Pharmacy,Romania,15,52,56
King Faisal University,Saudi Arabia,15,107,9
Menoufia University,Egypt,15,46,7
Minia University,Egypt,15,206,45
National Research Centre,Egypt,15,168,681
Northwestern University,United States,15,714,1972
Pontifical Catholic University of Peru,Peru,15,28,4
Qassim University,Saudi Arabia,15,208,105
Royal College of Surgeons in Ireland,Ireland,15,109,488
Taif University,Saudi Arabia,15,100,24
The Ohio State University,United States,15,175,1524
Universität Innsbruck,Austria,15,57,15
University of Agder,Colombia,15,113,21
University of Crete,Greece,15,78,12
University of Glasgow,United Kingdom,15,105,883
University of Graz,Mexico,15,38,42
University of Ha'il,France,15,88,12
University of Minnesota,United States,15,282,602
University of Reading,United Kingdom,15,210,78
University of Surrey,United Kingdom,15,467,1719
University of Turku,Finland,15,73,99
University of York,United Kingdom,15,166,384
Wageningen University & Research,Netherlands,15,280,478
Aalborg University,Denmark,14,150,329
American University of Beirut,Lebanon,14,32,110
Amity University,India,14,112,22
Comenius University,Slovakia,14,71,401
Durban University of Technology,South Africa,14,31,1
Karolinska University Hospital,Sweden,14,333,885
King Abdullah University of Science and Technology,Saudi Arabia,14,434,726
Lviv Polytechnic National University,Ukraine,14,30,
Masaryk University,Czech Republic,14,32,48
Multimedia University,Malaysia,14,1,1
North South University,Bangladesh,14,92,51
Padjadjaran University,Indonesia,14,67,34
Sao Paulo State University,Sweden,14,104,134
Swinburne University of Technology,Australia,14,324,199
Technical University of Denmark,Denmark,14,100,290
Texas A&M University,United States,14,63,332
UCSI University,Malaysia,14,28,21
University of Antioquia,Portugal,14,114,180
University of Bologna,Italy,14,61,304
University of Granada,Austria,14,76,39
University of Nottingham,United Kingdom,14,206,189
University of Patras,Greece,14,44,5
University of Szeged,Hungary,14,25,143
Walter Sisulu University,South Africa,14,38,5
Weill Cornell Medicine - Qatar,Qatar,14,214,1442
Assiut University,Egypt,13,109,21
Babeș-Bolyai University,Romania,13,56,7
Beni-Suef University,Egypt,13,143,8
Cardiff University,United Kingdom,13,125,183
Complutense University of Madrid,Spain,13,165,961
Curtin University,Australia,13,231,1480
De La Salle University,Philippines,13,40,4
Erasmus MC,Netherlands,13,653,1580
Finnish Institute for Health and Welfare,Finland,13,45,227
Grigore T. Popa University of Medicine and Pharmacy,Romania,13,79,12
Helwan University,Egypt,13,70,8
Huazhong University of Science and Technology,China,13,181,5
KTH Royal Institute of Technology,Sweden,13,21,31
Memorial Sloan Kettering Cancer Center,United States,13,343,1575
Mohammed V University,Morocco,13,81,89
National Technical University of Ukraine,Ukraine,13,16,1
National Tsing Hua University,Taiwan,13,76,7
National University of Colombia,Colombia,13,115,206
National Yang Ming Chiao Tung University,Taiwan,13,71,33
OsloMet – Oslo Metropolitan University,Norway,13,198,240
Oswaldo Cruz Foundation,Brazil,13,119,1132
Pontificia Universidad Javeriana,Colombia,13,26,9
Queensland University of Technology,Australia,13,420,6567
Simon Fraser University,Canada,13,159,658
Sunway University,Malaysia,13,28,28
Taibah University,Saudi Arabia,13,114,5
Universitair Ziekenhuis Leuven,Belgium,13,313,90
Universiti Brunei Darussalam,Brunei,13,97,3
University of Žilina,Slovakia,13,35,
University of Manitoba,Canada,13,154,102
University of Maribor,Slovenia,13,56,8
University of Naples Federico II,Italy,13,131,48
University of Osijek,Croatia,13,63,4
University of Ottawa,Canada,13,117,219
University of Stavanger,Norway,13,279,10
University of Technology Sydney,Australia,13,90,63
University of the Republic,Portugal,13,85,78
University of Trás-os-Montes and Alto Douro,Spain,13,142,7
University of Valencia,Colombia,13,83,274
University of Warwick,United Kingdom,13,117,647
University of Waterloo,Canada,13,107,1205
Vellore Institute of Technology University,India,13,113,24
Vilnius University,Lithuania,13,17,9
Western Sydney University,Australia,13,36,79
Aarhus University Hospital,Denmark,12,94,50
Abu Dhabi University,United Arab Emirates,12,71,6
Ariel University,Israel,12,258,1775
Ateneo de Manila University,Philippines,12,54,189
China Medical University,China,12,54,27
Dublin City University,Ireland,12,211,220
